Precinct,1ST CHOICE PARK AND RECREATION COMMISSIONER DISTRICT THREE DISTRICT 3,2ND CHOICE PARK AND RECREATION COMMISSIONER DISTRICT THREE DISTRICT 3,3RD CHOICE PARK AND RECREATION COMMISSIONER DISTRICT THREE DISTRICT 3,COUNT
MINNEAPOLIS W-6 P-07,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-12 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-05,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-01,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-6 P-03,SAID MAYE,SCOTT VREELAND,undervote,1
MINNEAPOLIS W-2 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-03,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-07,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-6 P-02,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-2 P-01,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-9 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-06,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-6 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-03,SAID MAYE,SAID MAYE,SAID MAYE,1
MINNEAPOLIS W-9 P-06,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-06,SAID MAYE,SCOTT VREELAND,undervote,1
MINNEAPOLIS W-2 P-08,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-06,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-9 P-01,SAID MAYE,SCOTT VREELAND,undervote,1
MINNEAPOLIS W-6 P-03,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-07,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-12 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-03,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-03,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-9 P-02,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-9 P-03,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-9 P-03,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-06,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-2 P-08,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-12 P-01,SAID MAYE,SCOTT VREELAND,undervote,1
MINNEAPOLIS W-6 P-03,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-6 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-03,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-9 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-08,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-02,SCOTT VREELAND,SCOTT VREELAND,SCOTT VREELAND,1
MINNEAPOLIS W-9 P-02,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-12 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-04,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-12 P-01,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-9 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-12 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-08,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-02,SAID MAYE,SCOTT VREELAND,undervote,1
MINNEAPOLIS W-6 P-02,SAID MAYE,SCOTT VREELAND,undervote,1
MINNEAPOLIS W-6 P-08,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-06,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-01,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-6 P-02,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-6 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-08,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-03,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-07,SAID MAYE,undervote,SAID MAYE,1
MINNEAPOLIS W-2 P-08,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-08,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-6 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-06,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-06,SAID MAYE,SCOTT VREELAND,undervote,1
MINNEAPOLIS W-9 P-02,SCOTT VREELAND,SAID MAYE,UWI,1
MINNEAPOLIS W-6 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-06,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-9 P-02,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-9 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-01,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-9 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-08,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-08,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-02,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-2 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-03,SAID MAYE,SCOTT VREELAND,undervote,1
MINNEAPOLIS W-6 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-12 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-03,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-12 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-06,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-6 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-05,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-6 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-02,SAID MAYE,SCOTT VREELAND,SAID MAYE,1
MINNEAPOLIS W-2 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-03,SAID MAYE,SCOTT VREELAND,SAID MAYE,1
MINNEAPOLIS W-6 P-05,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-02,SCOTT VREELAND,SCOTT VREELAND,SCOTT VREELAND,1
MINNEAPOLIS W-6 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-03,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-08,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-2 P-09,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-03,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-12 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-08,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-6 P-06,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-08,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-6 P-03,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-9 P-03,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-05,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-9 P-02,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-2 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-01,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-6 P-05,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-12 P-01,SCOTT VREELAND,SAID MAYE,SAID MAYE,1
MINNEAPOLIS W-6 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-12 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-02,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-9 P-02,SAID MAYE,SCOTT VREELAND,undervote,1
MINNEAPOLIS W-9 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-09,SAID MAYE,SCOTT VREELAND,UWI,1
MINNEAPOLIS W-9 P-01,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-9 P-06,SAID MAYE,SCOTT VREELAND,UWI,1
MINNEAPOLIS W-2 P-01,UWI,SCOTT VREELAND,undervote,1
MINNEAPOLIS W-2 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-12 P-01,SAID MAYE,UWI,undervote,1
MINNEAPOLIS W-9 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-06,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-12 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-08,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-01,SAID MAYE,SCOTT VREELAND,undervote,1
MINNEAPOLIS W-6 P-02,SAID MAYE,SAID MAYE,SAID MAYE,1
MINNEAPOLIS W-2 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-08,SAID MAYE,SCOTT VREELAND,undervote,1
MINNEAPOLIS W-2 P-08,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-02,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-2 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-05,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-08,SAID MAYE,SCOTT VREELAND,undervote,1
MINNEAPOLIS W-6 P-05,SAID MAYE,SAID MAYE,SAID MAYE,1
MINNEAPOLIS W-6 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-03,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-2 P-01,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-6 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-01,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-2 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-06,SAID MAYE,SAID MAYE,SAID MAYE,1
MINNEAPOLIS W-6 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-06,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-02,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-9 P-06,SAID MAYE,SCOTT VREELAND,undervote,1
MINNEAPOLIS W-6 P-03,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-01,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-12 P-01,SAID MAYE,SCOTT VREELAND,undervote,1
MINNEAPOLIS W-6 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-08,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-05,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-6 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-01,SCOTT VREELAND,SAID MAYE,UWI,1
MINNEAPOLIS W-2 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-02,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-6 P-07,SAID MAYE,SAID MAYE,SAID MAYE,1
MINNEAPOLIS W-9 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-09,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-9 P-06,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-04,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-06,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-01,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-12 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-06,SCOTT VREELAND,SCOTT VREELAND,SAID MAYE,1
MINNEAPOLIS W-6 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-08,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-07,SCOTT VREELAND,SCOTT VREELAND,undervote,1
MINNEAPOLIS W-6 P-03,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-6 P-03,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-6 P-06,SCOTT VREELAND,SAID MAYE,UWI,1
MINNEAPOLIS W-2 P-09,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-9 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-03,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-02,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-6 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-09,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-04,SAID MAYE,SCOTT VREELAND,undervote,1
MINNEAPOLIS W-9 P-02,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-9 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-07,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-2 P-08,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-01,SCOTT VREELAND,SAID MAYE,UWI,1
MINNEAPOLIS W-6 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-02,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-9 P-06,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-6 P-08,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-9 P-04,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-9 P-04,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-6 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-02,SCOTT VREELAND,SCOTT VREELAND,SCOTT VREELAND,1
MINNEAPOLIS W-9 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-02,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-2 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-03,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-03,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-02,SAID MAYE,SCOTT VREELAND,undervote,1
MINNEAPOLIS W-12 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-03,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-07,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-9 P-02,SCOTT VREELAND,SCOTT VREELAND,SCOTT VREELAND,1
MINNEAPOLIS W-2 P-08,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-03,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-9 P-02,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-6 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-12 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-08,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-01,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-6 P-03,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-12 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-08,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-06,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-01,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-9 P-02,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-12 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-01,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-6 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-05,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-9 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-01,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-6 P-02,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-9 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-01,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-9 P-02,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-2 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-02,SAID MAYE,SCOTT VREELAND,UWI,1
MINNEAPOLIS W-2 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-03,SAID MAYE,SCOTT VREELAND,undervote,1
MINNEAPOLIS W-12 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-01,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-03,SAID MAYE,undervote,undervote,1
MINNEAPOLIS W-9 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-07,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-08,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-9 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-2 P-09,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-04,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-02,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-2 P-08,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-12 P-01,SAID MAYE,SCOTT VREELAND,undervote,1
MINNEAPOLIS W-6 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-03,SAID MAYE,SCOTT VREELAND,undervote,1
MINNEAPOLIS W-6 P-02,SCOTT VREELAND,undervote,undervote,1
MINNEAPOLIS W-6 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-08,SCOTT VREELAND,SAID MAYE,undervote,1
MINNEAPOLIS W-2 P-08,SCOTT VREELAND,SAID MAYE,undervote,1
